layer,history_tokens,new_tokens,history_variant,item_variant,unique_history_tokens,unique_new_tokens,history_coverage_pct,new_coverage_pct,history_mib,all_mib,history_sha256,candidate_suffix_sha256,source_input_sha256
1,4096,4096,0,0,4051,4096,98.9013671875,100.0,2.5343475341796875,5.0968475341796875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,3fcce29a2d9f9d7d84029dd54fa6650b2f30d13c358d3dea399a663eb39516d0,3fe71e30a0c99bf4b3db8f124b3549c33a1018c9aa663667a2aebdd3378c9c7f
2,4096,4096,0,0,4088,4096,99.8046875,100.0,2.5574951171875,5.1199951171875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,3fcce29a2d9f9d7d84029dd54fa6650b2f30d13c358d3dea399a663eb39516d0,3fe71e30a0c99bf4b3db8f124b3549c33a1018c9aa663667a2aebdd3378c9c7f
0,4096,4096,0,1,4050,4096,98.876953125,100.0,2.533721923828125,5.096221923828125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,4edf467664706dcacb362e7013481149735feb4a347e3eb2667531100fad5ec2,f21f03d327e42e2fb3458823711a98e65610c7582ac66057d33e125495d7f385
1,4096,4096,0,1,4047,4096,98.8037109375,100.0,2.5318450927734375,5.0943450927734375,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,4edf467664706dcacb362e7013481149735feb4a347e3eb2667531100fad5ec2,f21f03d327e42e2fb3458823711a98e65610c7582ac66057d33e125495d7f385
2,4096,4096,0,1,4087,4096,99.7802734375,100.0,2.5568695068359375,5.1193695068359375,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,4edf467664706dcacb362e7013481149735feb4a347e3eb2667531100fad5ec2,f21f03d327e42e2fb3458823711a98e65610c7582ac66057d33e125495d7f385
0,4096,4096,0,2,4052,4096,98.92578125,100.0,2.53497314453125,5.09747314453125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,413009579c0b7c203e7f2adfb5572c4870956baf3213e64a67a0a023119061bb,ee3468dbc7dedfb5f36efcebd126cc92931c8b1265ac5e5f83cb2635eeec7a08
1,4096,4096,0,2,4046,4096,98.779296875,100.0,2.531219482421875,5.093719482421875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,413009579c0b7c203e7f2adfb5572c4870956baf3213e64a67a0a023119061bb,ee3468dbc7dedfb5f36efcebd126cc92931c8b1265ac5e5f83cb2635eeec7a08
2,4096,4096,0,2,4088,4096,99.8046875,100.0,2.5574951171875,5.1199951171875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,413009579c0b7c203e7f2adfb5572c4870956baf3213e64a67a0a023119061bb,ee3468dbc7dedfb5f36efcebd126cc92931c8b1265ac5e5f83cb2635eeec7a08
0,4096,64,1,0,3602,64,87.939453125,100.0,2.253448486328125,2.293487548828125,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,8b1b30b50df2a630eb9dcd4ac0120f0fbb4226b3146c04546cc681cd9fbab507,d5182b44dc6e27039cb40aa6ce41a328ffff708b1771dd1dafb10fb03f8f6809
1,4096,64,1,0,3430,64,83.740234375,100.0,2.145843505859375,2.185882568359375,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,8b1b30b50df2a630eb9dcd4ac0120f0fbb4226b3146c04546cc681cd9fbab507,d5182b44dc6e27039cb40aa6ce41a328ffff708b1771dd1dafb10fb03f8f6809
2,4096,64,1,0,3376,64,82.421875,100.0,2.112060546875,2.152099609375,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,8b1b30b50df2a630eb9dcd4ac0120f0fbb4226b3146c04546cc681cd9fbab507,d5182b44dc6e27039cb40aa6ce41a328ffff708b1771dd1dafb10fb03f8f6809
0,4096,64,1,1,3583,64,87.4755859375,100.0,2.2415618896484375,2.2816009521484375,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,44803f2d88d2542bc888ce18977434d05841408bb257f61123e8beee8938b2b9,27ede7dde84da2cbd418971590853419446ab14954ae2513d8fd8dae1b950f5b
1,4096,64,1,1,3421,64,83.5205078125,100.0,2.1402130126953125,2.1802520751953125,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,44803f2d88d2542bc888ce18977434d05841408bb257f61123e8beee8938b2b9,27ede7dde84da2cbd418971590853419446ab14954ae2513d8fd8dae1b950f5b
2,4096,64,1,1,3368,64,82.2265625,100.0,2.1070556640625,2.1470947265625,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,44803f2d88d2542bc888ce18977434d05841408bb257f61123e8beee8938b2b9,27ede7dde84da2cbd418971590853419446ab14954ae2513d8fd8dae1b950f5b
0,4096,64,1,2,3574,64,87.255859375,100.0,2.235931396484375,2.275970458984375,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,e4e4cbe16c70b408c1c9d938d7114e63c198be88902cbf85e90741f7c841115c,f17eb5832da1ef043e8e3ea1c92be97b7316eb6f3acc1783d3d0d3873296d928
1,4096,64,1,2,3405,64,83.1298828125,100.0,2.1302032470703125,2.1702423095703125,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,e4e4cbe16c70b408c1c9d938d7114e63c198be88902cbf85e90741f7c841115c,f17eb5832da1ef043e8e3ea1c92be97b7316eb6f3acc1783d3d0d3873296d928
2,4096,64,1,2,3380,64,82.51953125,100.0,2.11456298828125,2.15460205078125,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,e4e4cbe16c70b408c1c9d938d7114e63c198be88902cbf85e90741f7c841115c,f17eb5832da1ef043e8e3ea1c92be97b7316eb6f3acc1783d3d0d3873296d928
0,4096,128,1,0,3840,128,93.75,100.0,2.40234375,2.482421875,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,b01c21d44004009bb29cda6c83288d0294605b1063e9205a095d7e58c476d5f3,39f1091275e74edcd05e856fc01bcf95e9fb57f51ae50b6abac7a1540f28fe1c
1,4096,128,1,0,3656,128,89.2578125,100.0,2.2872314453125,2.3673095703125,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,b01c21d44004009bb29cda6c83288d0294605b1063e9205a095d7e58c476d5f3,39f1091275e74edcd05e856fc01bcf95e9fb57f51ae50b6abac7a1540f28fe1c
2,4096,128,1,0,3590,128,87.646484375,100.0,2.245941162109375,2.326019287109375,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,b01c21d44004009bb29cda6c83288d0294605b1063e9205a095d7e58c476d5f3,39f1091275e74edcd05e856fc01bcf95e9fb57f51ae50b6abac7a1540f28fe1c
0,4096,128,1,1,3824,128,93.359375,100.0,2.392333984375,2.472412109375,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,d306c7272834b2d1357f8a590b91e41948f3b7fd3b4f30e427e9beb4218175a9,1f72170cce919de0017346fa1f8a527904d3ac9d8d4a85bfce32337dffbcce82
1,4096,128,1,1,3644,128,88.96484375,100.0,2.27972412109375,2.35980224609375,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,d306c7272834b2d1357f8a590b91e41948f3b7fd3b4f30e427e9beb4218175a9,1f72170cce919de0017346fa1f8a527904d3ac9d8d4a85bfce32337dffbcce82
2,4096,128,1,1,3588,128,87.59765625,100.0,2.24468994140625,2.32476806640625,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,d306c7272834b2d1357f8a590b91e41948f3b7fd3b4f30e427e9beb4218175a9,1f72170cce919de0017346fa1f8a527904d3ac9d8d4a85bfce32337dffbcce82
0,4096,128,1,2,3819,128,93.2373046875,100.0,2.3892059326171875,2.4692840576171875,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,7ad1543f39c5560980bdca0cbf9b6c268302bbc463a4612fdf79b99dc8db5609,6bc5612f8b960be5747da117ea647210b84f3cfabb739a20a06a7087c03c8400
1,4096,128,1,2,3631,128,88.6474609375,100.0,2.2715911865234375,2.3516693115234375,12ead5c0f9a0f7d7376973930e18828c3ad07d4e8a38b8ca8435abffe7fb2256,7ad1543f39c5560980bdca0cbf9b6c268302bbc463a4612fdf79b99dc8db5609,6bc5612f8b960be5747da117ea647210b84f3cfabb739a20a06a7087c03c8400
